Day,Hour of day,Latitude,Longitude,Ne/cm-3,O+,N+,hmF2,foF2,Tec
2023-05-02,21:30,37.5402,137.3053,186085,969,20,274.4,9.035,10.54
2023-05-02,21:45,37.5402,137.3053,189216,969,20,271.9,9.279,11.43
2023-05-02,22:00,37.5402,137.3053,192241,970,20,270.0,9.499,12.28
2023-05-02,22:20,37.5402,137.3053,195169,970,20,268.5,9.693,13.08
2023-05-02,22:30,37.5402,137.3053,198050,971,20,267.5,9.859,13.8
2023-05-02,22:45,37.5402,137.3053,200962,971,20,267.0,9.998,14.43
2023-05-02,23:00,37.5402,137.3053,204005,972,20,267.0,10.113,14.96
2023-05-02,23:20,37.5402,137.3053,207299,972,20,267.4,10.207,15.4
2023-05-02,23:30,37.5402,137.3053,210964,972,20,268.3,10.285,15.75
2023-05-02,23:45,37.5402,137.3053,215123,973,20,269.6,10.353,16.02
2023-05-02,00:00,37.5402,137.3053,219886,973,20,271.2,10.415,16.1
2023-05-03,01:00,37.5402,137.3053,246358,974,20,281.5,10.621,16.38
2023-05-03,01:20,37.5402,137.3053,254739,974,20,284.2,10.704,16.4
2023-05-03,01:30,37.5402,137.3053,263662,974,20,286.8,10.792,16.41
2023-05-03,01:45,37.5402,137.3053,272945,974,21,289.4,10.884,16.39
2023-05-03,02:00,37.5402,137.3053,282367,974,21,292.0,10.977,16.35
2023-05-03,02:20,37.5402,137.3053,291666,974,21,294.3,11.067,16.28
2023-05-03,02:30,37.5402,137.3053,300568,974,22,296.5,11.152,16.19
2023-05-03,02:45,37.5402,137.3053,308787,973,22,298.4,11.23,16.07
2023-05-03,3:00,37.5402,137.3053,316072,973,23,300.0,11.297,15.98
2023-05-03,3:20,37.5402,137.3053,322198,972,24,301.4,11.353,15.78
2023-05-03,3:30,37.5402,137.3053,327005,972,24,302.4,11.397,15.58
2023-05-03,3:45,37.5402,137.3053,330395,971,25,303.1,11.428,15.37
2023-05-03,04:00,37.5402,137.3053,332340,971,26,303.5,11.448,15.18
2023-05-03,04:20,37.5402,137.3053,332875,970,26,303.5,11.457,15.01
